"","Apakah hardisk tipe ssd memiliki performa kerja lebih baik dari hdd dalam hal kecepatan mengakses data","Apakah pengguna setuju bahwa dual core (multi core )pada prosessor lebih cenderung mempercepat kinerja system computer dibandingkan quad core","Apakah dengan menggunakan VGA NVIDIA GeForce saat akan melakukan aktivitas gaming tidak ada lag","Agar dapat support dengan aplikasi yang bersifat multi core harus menggunakan memori yang besar ","Saat melakukan aktivitas multitasking pada komputer  dengan menggunakan processor multi core tidak akan menjadi masalah","Apakah pengguna bisa membedakan antara hardware yang masih baru dengan yang sudah second (bekas)","Menurut pengalaman pengguna, Apakah tempat service komputer dapat menjamin tidak adanya penukaran hardware computer dengan yang bekas","Apakah dengan media penyimpanan yang lebih besar pengguna dapat lega untuk menyimpanan data","Pengguna dapat lebih meminimalkan penggunaan listrik jika menggunakan Monitor LCD dari pada monitor CRT "
"Responden 1","4","4","3","4","3","3","3","5","4"
"Responden 2","5","4","5","4","4","5","5","5","4"
"Responden 3","4","3","4","4","3","5","2","4","4"
"Responden 4","4","4","4","4","4","3","3","5","4"
"Responden 5","5","4","4","4","4","3","3","4","3"
"Responden 6","4","3","4","4","4","4","3","4","4"
"Responden 7","3","5","4","4","3","4","3","3","3"
"Responden 8","4","4","4","4","4","5","2","5","4"
"Responden 9","4","5","4","4","4","4","4","4","5"
"Responden 10","5","2","3","4","4","3","3","4","3"
"Responden 11","3","4","3","3","3","4","4","4","3"
"Responden 12","5","4","3","5","5","4","2","5","3"
"Responden 13","4","4","4","4","4","4","2","4","4"
"Responden 14","4","4","4","4","4","4","2","4","4"
"Responden 15","4","2","3","4","4","2","2","4","5"
"Responden 16","4","3","3","5","4","4","3","4","2"
"Responden 17","5","2","4","4","4","4","2","5","4"
"Responden 18","3","4","3","4","4","3","4","5","4"
"Responden 19","4","4","4","4","4","2","2","4","4"
"Responden 20","4","5","4","4","3","2","2","4","3"
"Responden 21","2","4","4","4","3","3","2","4","4"
"Responden 22","5","4","4","4","4","4","4","5","5"
"Responden 23","4","3","3","4","3","3","3","4","3"
"Responden 24","4","3","3","4","4","3","3","4","4"
"Responden 25","4","4","4","4","4","3","1","4","4"
"Responden 26","3","4","2","4","3","3","3","5","4"
"Responden 27","4","3","5","4","5","3","4","5","5"
"Responden 28","3","4","4","4","3","3","3","5","4"
"Responden 29","4","4","3","5","4","4","2","5","2"
"Responden 30","3","3","3","4","3","4","3","4","4"
"Responden 31","3","4","3","4","3","2","3","5","3"
"Responden 32","4","5","4","4","3","3","3","5","4"
"Responden 33","4","4","4","4","4","4","4","4","4"
"Responden 34","3","4","4","5","3","4","2","5","2"
"Responden 35","4","5","5","5","4","5","2","5","4"
"Responden 36","5","4","4","4","3","4","3","5","5"
"Responden 37","3","3","3","4","3","4","2","4","4"
"Responden 38","4","4","3","2","2","4","1","5","3"
"Responden 39","2","3","4","4","3","2","3","3","4"
"Responden 40","4","4","4","3","4","4","2","4","4"
"Responden 41","5","4","3","3","3","4","3","4","4"
"Responden 42","5","4","4","4","3","4","2","2","4"
"Responden 43","4","3","5","5","4","4","4","5","5"
"Responden 44","5","5","4","3","3","5","2","5","4"
"Responden 45","4","4","2","2","4","4","2","5","2"
"Responden 46","5","4","3","5","3","5","1","5","2"
"Responden 47","4","4","3","4","3","4","2","5","3"
"Responden 48","3","4","3","5","3","2","2","4","3"
"Responden 49","4","2","3","4","4","5","2","4","5"
"Responden 50","4","3","3","4","4","4","2","4","4"
"Responden 51","4","5","5","3","4","3","2","4","5"
"Responden 52","4","4","4","4","3","3","3","5","4"
"Responden 53","4","2","3","4","4","4","3","4","3"
"Responden 54","4","4","3","5","3","2","2","5","3"
"Responden 55","3","3","3","3","3","3","3","3","3"
"Responden 56","4","4","4","4","4","4","3","4","4"
"Responden 57","4","3","3","5","5","3","3","5","5"
"Responden 58","3","3","3","3","3","2","3","4","3"
"Responden 59","4","3","3","4","4","2","3","5","4"
"Responden 60","2","1","4","4","4","4","3","5","3"
"Responden 61","4","4","4","4","4","5","5","5","5"
"Responden 62","5","4","4","4","3","4","3","1","3"
"Responden 63","4","4","3","4","3","4","2","5","4"
"Responden 64","4","2","3","4","4","4","2","5","4"
"Responden 65","5","4","4","4","3","4","3","4","3"
"Responden 66","3","4","4","5","4","4","4","4","4"
"Responden 67","2","2","4","2","2","4","5","5","5"
"Responden 68","3","3","3","4","4","3","2","4","3"
"Responden 69","4","3","5","2","4","2","3","5","3"
"Responden 70","4","2","4","4","3","4","2","4","4"
"Responden 71","4","4","4","5","4","4","4","4","4"
"Responden 72","5","2","5","3","2","3","3","4","3"
"Responden 73","4","2","3","4","3","4","4","4","4"
"Responden 74","4","4","2","3","2","3","2","5","4"
"Responden 75","3","3","3","3","3","3","3","4","3"
"Responden 76","5","1","5","3","5","4","3","5","3"
"Responden 77","4","5","4","5","4","5","3","5","4"
"Responden 78","5","4","5","5","5","3","3","5","5"
"Responden 79","5","2","4","4","4","4","3","4","3"
"Responden 80","4","3","4","4","3","5","2","5","4"
"Responden 81","4","3","3","5","3","2","2","5","3"
"Responden 82","3","4","3","5","4","2","2","4","4"
"Responden 83","4","4","4","4","4","4","2","5","2"
"Responden 84","4","3","3","4","2","3","1","4","2"
"Responden 85","3","4","4","5","3","4","2","5","3"
"Responden 86","4","5","2","4","4","4","2","5","4"
"Responden 87","4","5","4","4","3","1","1","4","4"
"Responden 88","4","5","4","5","4","2","4","3","5"
"Responden 89","4","2","5","4","2","3","2","4","4"
"Responden 90","4","4","5","4","3","2","1","3","5"
"Responden 91","4","5","4","4","3","3","3","3","4"
"Responden 92","3","4","4","4","3","3","3","2","3"
"Responden 93","4","3","3","4","3","2","1","5","3"
"Responden 94","5","5","3","4","3","5","5","5","3"
"Responden 95","4","5","3","4","4","3","3","5","4"
"Responden 96","4","3","4","4","3","2","3","4","4"
"Responden 97","4","4","4","4","4","4","4","4","4"
"Responden 98","4","3","3","4","3","5","3","5","4"
"Responden 99","5","2","4","3","3","4","3","4","4"
"Responden 100","4","4","3","4","2","4","4","5","4"
"Responden 101","4","4","4","4","4","5","4","4","4"
"Responden 102","4","4","4","4","4","4","3","4","3"
"Responden 103","4","4","3","4","3","4","2","4","4"
"Responden 104","4","4","4","4","4","2","2","4","3"
"Responden 105","4","2","4","4","2","2","2","5","3"
"Responden 106","4","4","3","5","4","3","3","5","4"
"Responden 107","5","2","4","4","4","5","4","5","4"
"Responden 108","4","3","4","5","4","4","1","5","3"
"Responden 109","5","1","2","5","5","5","1","5","5"
"Responden 110","4","5","4","3","4","3","3","4","4"
"Responden 111","4","2","2","4","4","4","2","5","5"
"Responden 112","5","5","4","4","4","4","2","4","4"
"Responden 113","5","3","5","5","4","5","1","2","4"
"Responden 114","4","2","4","4","4","4","2","4","5"
"Responden 115","4","5","5","5","5","5","5","5","5"
"Responden 116","4","3","3","3","4","2","2","4","5"
"Responden 117","4","3","3","4","3","4","2","4","3"
"Responden 118","4","4","4","4","4","4","2","4","3"
"Responden 119","5","5","5","1","5","1","1","5","5"
"Responden 120","4","4","4","4","4","2","3","5","5"
"Responden 121","3","2","3","3","4","2","1","5","3"
"Responden 122","4","4","4","4","4","3","4","5","4"
"Responden 123","3","4","3","4","3","3","3","5","4"
"Responden 124","3","3","4","4","3","3","3","5","4"
"Responden 125","5","2","3","3","4","4","2","5","5"
"Responden 126","4","4","4","4","4","3","2","5","4"
"Responden 127","4","2","3","4","4","4","2","4","3"
"Responden 128","3","3","3","3","3","3","3","4","3"
"Responden 129","3","3","4","4","3","4","2","5","3"
"Responden 130","5","1","4","4","5","4","1","5","3"
"Responden 131","4","3","4","4","4","2","3","4","2"
"Responden 132","4","5","3","4","5","4","3","5","5"
"Responden 133","4","3","4","4","3","3","3","4","4"
"Responden 134","4","3","5","4","4","3","3","5","4"
"Responden 135","3","4","4","4","4","4","3","5","3"
"Responden 136","3","4","4","4","4","2","2","5","3"
"Responden 137","4","4","4","4","4","3","2","5","3"
"Responden 138","5","5","5","4","5","4","5","5","5"
"Responden 139","4","2","3","3","2","4","3","4","2"
"Responden 140","3","4","3","3","3","2","2","5","3"
"Responden 141","4","5","3","4","3","2","2","5","3"
"Responden 142","4","4","4","4","4","3","3","5","3"
"Responden 143","4","4","4","4","4","4","4","5","4"
"Responden 144","4","4","3","4","4","3","3","4","4"
"Responden 145","4","3","5","4","5","3","1","5","3"
"Responden 146","3","4","3","4","3","4","2","5","3"
"Responden 147","3","4","3","4","4","2","4","5","4"
"Responden 148","4","4","3","4","3","4","2","4","3"
"Responden 149","5","3","4","4","4","2","3","4","3"
"Responden 150","4","3","3","3","3","4","2","4","3"
"Responden 151","3","3","4","3","3","2","2","4","3"
"Responden 152","4","4","3","4","4","2","1","4","3"
"Responden 153","4","4","4","2","3","4","3","4","4"
"Responden 154","3","3","3","3","4","3","3","4","3"
"Responden 155","4","4","4","4","4","4","4","5","4"
"Responden 156","5","5","4","4","4","4","2","3","4"
"Responden 157","4","5","3","3","3","2","1","5","4"
"Responden 158","4","4","3","4","4","3","2","4","4"
"Responden 159","4","3","2","3","3","4","4","5","5"
"Responden 160","3","2","4","3","3","4","2","4","4"
"Responden 161","4","3","4","3","4","4","2","4","4"
"Responden 162","4","3","4","3","4","3","3","3","4"
"Responden 163","4","4","4","3","4","4","2","3","5"
"Responden 164","3","4","3","4","5","4","2","3","4"
"Responden 165","4","5","4","4","4","4","5","3","3"
"Responden 166","4","3","4","4","4","3","2","4","5"
"Responden 167","4","3","3","3","4","4","3","5","4"
"Responden 168","4","3","5","4","2","2","2","3","5"
"Responden 169","4","4","4","4","5","4","4","3","3"
"Responden 170","4","3","3","3","4","3","2","3","3"
"Responden 171","3","4","5","2","3","4","4","5","4"
"Responden 172","2","2","5","4","4","4","2","4","4"
"Responden 173","3","4","3","3","3","4","4","4","4"
"Responden 174","4","4","4","5","3","5","4","4","5"
"Responden 175","4","3","4","5","3","3","4","5","4"
"Responden 176","4","5","3","4","3","4","4","3","3"
"Responden 177","5","1","2","4","5","4","3","4","5"
"Responden 178","4","3","4","4","3","3","2","5","4"
"Responden 179","4","3","3","4","3","4","4","5","4"
"Responden 180","4","5","3","4","4","4","3","2","4"
"Responden 181","4","4","4","4","4","4","4","4","4"
"Responden 182","3","4","3","4","3","4","3","4","3"
"Responden 183","4","4","3","5","3","3","2","5","5"
"Responden 184","4","5","5","4","4","3","3","3","4"
"Responden 185","4","4","5","5","3","3","3","3","5"
"Responden 186","3","4","4","4","3","3","2","4","3"
"Responden 187","4","3","4","5","4","4","3","4","3"
"Responden 188","5","5","5","2","3","5","2","5","5"
"Responden 189","3","4","4","4","3","4","2","5","2"
"Responden 190","4","4","3","5","4","4","3","5","4"
"Responden 191","3","3","3","3","3","3","3","3","3"
"Responden 192","5","2","4","4","4","4","3","4","5"
"Responden 193","4","3","4","5","3","2","3","4","4"
"Responden 194","4","3","4","3","4","4","3","4","4"
"Responden 195","3","3","3","4","4","4","3","4","4"
"Responden 196","3","2","2","5","3","4","2","4","2"
"Responden 197","4","4","4","3","3","4","2","5","5"
"Responden 198","3","2","4","4","4","3","2","5","4"
"Responden 199","4","4","3","5","5","4","3","4","3"
"Responden 200","3","3","5","4","4","4","3","4","5"
"Responden 201","4","4","4","4","4","2","2","5","3"
"Responden 202","5","5","4","5","5","5","5","4","5"
"Responden 203","3","3","3","4","3","2","2","5","4"
"Responden 204","4","4","3","4","2","3","2","4","4"
"Responden 205","4","4","4","4","4","2","3","4","4"
"Responden 206","5","4","5","5","3","2","3","5","4"
"Responden 207","3","4","3","4","3","3","3","5","3"
"Responden 208","5","5","5","5","5","4","5","5","5"
"Responden 209","3","3","3","4","3","3","2","4","3"
"Responden 210","4","3","5","4","4","3","3","4","4"
"Responden 211","5","4","4","3","4","3","2","5","5"
"Responden 212","5","3","4","3","3","3","2","5","3"
"Responden 213","4","4","4","5","4","4","2","5","5"
"Responden 214","4","4","3","2","3","3","2","4","4"
"Responden 215","5","4","4","4","3","4","3","4","4"
"Responden 216","5","5","5","5","5","5","3","4","4"
"Responden 217","5","5","4","4","4","3","3","4","3"
"Responden 218","4","3","4","4","3","2","2","3","2"
"Responden 219","3","3","3","3","3","2","1","5","3"
"Responden 220","4","3","3","5","3","2","1","3","5"
"Responden 221","4","5","4","3","4","3","3","4","3"
"Responden 222","4","3","3","2","3","4","3","3","3"
"Responden 223","4","2","3","5","3","2","1","4","3"
"Responden 224","4","3","2","4","4","3","4","4","3"
"Responden 225","4","5","4","4","3","1","2","3","4"
"Responden 226","5","4","4","4","3","2","5","3","3"
"Responden 227","4","4","4","5","4","3","5","3","3"
"Responden 228","5","1","4","5","5","4","2","4","5"
"Responden 229","5","4","5","3","2","3","5","3","2"
"Responden 230","3","3","3","4","4","4","4","5","4"
"Responden 231","4","5","4","3","4","5","2","3","5"
"Responden 232","4","4","4","4","4","4","4","4","4"
"Responden 233","4","3","4","3","2","3","4","5","5"
"Responden 234","4","4","5","4","4","5","3","5","4"
"Responden 235","4","4","3","5","4","3","1","5","4"
"Responden 236","4","5","4","5","4","4","4","4","3"
"Responden 237","4","4","3","4","3","4","3","5","4"
"Responden 238","5","4","5","5","4","3","2","4","3"
"Responden 239","4","3","4","4","4","2","2","4","4"
"Responden 240","5","5","5","3","5","4","3","5","4"
"Responden 241","5","5","5","5","5","4","2","5","4"
"Responden 242","5","5","4","3","4","3","3","5","3"
"Responden 243","4","4","4","3","4","2","2","3","3"
"Responden 244","4","2","2","4","4","4","2","4","4"
"Responden 245","4","4","3","4","3","3","3","5","3"
"Responden 246","5","5","5","5","5","2","2","4","4"
"Responden 247","4","4","3","4","4","3","2","4","4"
"Responden 248","5","4","3","3","4","4","3","4","3"
"Responden 249","3","4","3","5","4","2","2","2","3"
"Responden 250","4","4","3","4","4","3","2","4","3"
"Responden 251","5","1","4","3","2","4","2","4","4"
"Responden 252","4","1","4","3","3","4","4","5","5"
"Responden 253","4","4","4","4","4","3","2","5","4"
"Responden 254","4","4","3","4","3","3","2","5","3"
"Responden 255","5","1","3","2","4","3","1","5","4"
"Responden 256","5","5","3","4","4","4","4","5","4"
"Responden 257","4","2","1","3","2","2","2","5","4"
"Responden 258","5","2","3","3","3","4","2","4","4"
"Responden 259","4","4","3","4","4","3","2","5","4"
"Responden 260","5","5","3","4","5","2","4","5","3"
"Responden 261","5","5","4","5","4","5","3","5","4"
"Responden 262","4","4","3","4","3","2","2","5","3"
"Responden 263","4","4","3","4","3","3","4","5","3"
"Responden 264","4","2","3","4","2","4","3","5","4"
"Responden 265","5","4","4","4","4","3","3","4","4"
"Responden 266","3","4","3","5","4","3","2","5","3"
"Responden 267","3","4","4","4","3","4","3","5","3"
"Responden 268","4","3","3","4","3","2","1","5","3"
"Responden 269","5","2","2","2","2","4","4","5","3"
"Responden 270","5","3","4","2","2","3","2","2","3"
"Responden 271","5","1","1","3","2","3","5","3","2"
"Responden 272","3","3","3","2","3","4","4","5","4"
"Responden 273","4","3","4","3","4","4","2","5","3"
"Responden 274","4","2","2","1","3","4","2","3","4"
"Responden 275","5","4","4","3","2","3","2","4","5"
"Responden 276","4","3","4","2","2","4","3","5","5"
"Responden 277","5","4","4","3","2","4","4","5","3"
"Responden 278","4","4","4","4","4","3","3","5","2"
"Responden 279","3","3","3","3","3","3","3","4","3"
"Responden 280","3","3","3","4","3","4","3","4","4"
"Responden 281","3","5","4","4","5","4","3","5","5"
"Responden 282","4","3","4","4","3","2","3","3","3"
"Responden 283","5","1","4","4","1","5","1","5","2"
"Responden 284","3","2","4","3","3","4","2","5","4"
"Responden 285","4","3","4","5","4","2","2","5","4"
"Responden 286","4","2","4","4","2","2","1","5","2"
"Responden 287","5","5","5","5","5","5","5","5","5"
"Responden 288","4","4","4","4","4","4","3","4","4"
"Responden 289","5","4","4","5","4","4","3","4","4"
"Responden 290","4","5","4","3","4","4","2","3","5"
"Responden 291","5","5","4","4","4","5","5","5","5"
"Responden 292","4","4","3","4","3","2","3","4","4"
"Responden 293","4","3","3","5","4","4","2","5","3"
"Responden 294","3","2","3","5","4","3","4","5","3"
"Responden 295","4","4","4","5","5","4","3","4","4"
"Responden 296","4","4","4","4","4","4","4","4","4"
"Responden 297","5","2","4","4","4","5","3","5","3"
"Responden 298","4","3","3","5","4","4","2","5","3"
"Responden 299","4","4","3","4","4","3","2","4","4"
"Responden 300","4","4","4","5","3","4","1","5","4"
"Responden 301","4","4","4","3","4","5","3","5","4"
"Responden 302","4","2","4","3","4","2","2","5","4"
"Responden 303","4","4","5","5","4","3","2","5","4"
"Responden 304","4","4","1","3","3","4","3","5","4"
"Responden 305","4","4","4","4","4","4","3","5","3"
"Responden 306","4","4","3","3","3","2","3","4","4"
"Responden 307","5","4","3","4","3","2","2","3","4"
"Responden 308","5","1","3","4","4","5","3","4","3"
"Responden 309","4","4","4","4","4","4","1","4","3"
"Responden 310","5","1","5","5","5","3","3","5","5"
"Responden 311","4","3","3","4","3","3","4","5","3"
"Responden 312","4","3","3","2","2","4","3","3","4"
"Responden 313","5","4","4","3","2","4","2","5","5"
"Responden 314","4","3","4","2","2","4","4","5","4"
"Responden 315","3","3","2","3","3","4","3","5","3"
"Responden 316","3","4","4","2","2","4","3","4","4"
"Responden 317","5","4","4","3","2","2","2","5","4"
"Responden 318","4","3","4","3","4","4","4","5","3"
"Responden 319","3","4","3","5","3","3","2","5","4"
"Responden 320","4","4","4","5","4","3","3","4","4"
"Responden 321","5","5","5","5","5","5","3","5","5"
"Responden 322","4","4","3","4","4","3","3","5","4"
"Responden 323","4","4","3","5","2","3","4","5","4"
"Responden 324","5","3","3","3","4","4","3","4","3"
"Responden 325","5","5","4","5","5","2","3","5","4"
"Responden 326","5","2","5","4","2","3","3","5","3"
"Responden 327","4","3","4","2","4","2","3","5","4"
"Responden 328","4","3","4","3","4","4","4","3","4"
"Responden 329","3","4","3","3","2","3","3","5","4"
"Responden 330","4","4","4","4","4","4","3","4","4"
"Responden 331","3","3","3","3","3","5","2","5","5"
"Responden 332","4","3","5","4","4","4","3","4","4"
"Responden 333","4","3","4","3","4","2","3","5","3"
"Responden 334","4","4","4","4","4","3","4","4","3"
"Responden 335","4","4","3","4","4","3","4","5","4"
"Responden 336","4","4","4","4","3","4","2","5","4"
"Responden 337","4","5","3","3","3","4","4","5","2"
"Responden 338","3","4","2","2","2","5","2","4","3"
"Responden 339","4","4","3","2","2","3","3","5","5"
"Responden 340","4","4","4","4","3","3","3","4","4"
"Responden 341","5","4","5","4","4","4","4","4","4"
"Responden 342","4","4","5","4","4","5","3","5","4"
"Responden 343","4","4","4","4","4","3","3","4","4"
"Responden 344","4","5","4","4","3","3","4","5","4"
"Responden 345","4","4","3","3","3","4","3","5","4"
"Responden 346","4","4","3","3","4","4","3","4","4"
"Responden 347","4","3","3","4","4","4","4","3","4"
"Responden 348","5","4","5","5","3","5","3","5","5"
"Responden 349","4","4","4","4","4","4","4","4","4"
"Responden 350","4","3","3","3","4","3","3","5","5"
"Responden 351","5","5","5","5","5","4","5","5","4"
"Responden 352","4","3","4","4","3","4","2","5","3"
"Responden 353","4","4","3","3","4","4","3","5","2"
"Responden 354","2","4","4","3","3","4","3","4","4"
"Responden 355","4","4","3","3","2","4","3","5","4"
"Responden 356","2","3","3","4","2","4","2","4","2"
"Responden 357","4","3","4","4","3","4","3","5","4"
"Responden 358","4","4","4","3","3","4","2","3","4"
"Responden 359","4","5","3","4","4","3","4","5","3"
"Responden 360","4","3","4","4","3","5","2","4","4"
"Responden 361","5","1","3","4","4","4","3","5","5"
"Responden 362","2","3","2","4","4","4","2","4","4"
"Responden 363","3","3","3","4","3","3","2","4","3"
"Responden 364","4","4","3","4","3","3","3","5","4"
"Responden 365","4","4","2","4","4","2","2","4","4"
"Responden 366","5","5","2","5","3","4","2","5","5"
"Responden 367","4","3","4","2","4","4","4","5","3"
"Responden 368","5","4","4","4","4","3","2","5","4"
"Responden 369","4","3","4","5","4","2","2","5","4"
"Responden 370","4","3","3","4","4","3","4","4","3"
"Responden 371","4","4","5","3","4","5","2","4","3"
"Responden 372","5","5","4","4","4","4","4","4","4"
"Responden 373","4","2","3","3","3","4","4","5","4"
"Responden 374","3","4","3","5","3","3","3","4","3"
"Responden 375","3","4","4","4","4","4","4","4","2"
"Responden 376","4","3","5","4","3","4","3","5","4"
"Responden 377","4","4","3","4","3","4","3","5","4"
"Responden 378","5","4","4","3","4","4","3","4","3"
"Responden 379","3","4","3","4","3","4","2","5","3"
"Responden 380","3","5","3","4","3","4","4","4","1"
"Responden 381","4","3","4","4","3","4","3","4","4"
"Responden 382","4","3","2","4","3","4","4","1","2"
"Responden 383","4","4","2","4","4","4","3","5","4"
"Responden 384","5","5","5","4","4","2","3","5","5"
"Responden 385","4","4","4","4","4","4","2","4","5"
"Responden 386","4","3","4","3","4","4","3","5","3"
"Responden 387","4","3","4","4","5","4","4","5","4"
"Responden 388","4","3","4","4","2","4","3","5","4"
"Responden 389","4","4","4","4","3","4","3","5","4"
"Responden 390","4","3","4","2","4","3","2","5","4"
"Responden 391","4","4","4","4","4","4","2","3","4"
"Responden 392","4","4","3","4","3","4","2","4","3"
"Responden 393","4","3","4","5","3","4","3","5","5"
"Responden 394","4","3","4","4","4","3","2","5","4"
"Responden 395","4","3","5","2","2","4","3","5","4"
"Responden 396","4","4","3","4","3","4","3","4","4"
"Responden 397","3","3","3","4","3","3","3","5","3"
"Responden 398","4","3","4","4","4","3","2","4","4"
"Responden 399","4","3","2","2","2","5","2","5","2"
"Responden 400","4","4","3","2","3","4","2","4","5"
"Responden 401","4","3","4","4","3","4","2","5","4"
"Responden 402","4","4","3","4","4","4","2","4","4"
"Responden 403","5","2","5","5","5","3","3","5","4"
"Responden 404","5","5","5","4","5","5","2","4","3"
"Responden 405","4","4","3","4","4","4","2","5","4"
"Responden 406","4","4","3","4","4","4","3","3","4"
"Responden 407","4","4","3","4","3","4","3","4","3"
"Responden 408","4","4","4","5","4","4","3","5","4"
"Responden 409","4","4","4","3","4","3","2","4","4"
"Responden 410","3","4","3","4","3","4","2","4","4"
"Responden 411","4","4","3","4","4","4","4","5","3"
"Responden 412","4","3","4","3","3","3","3","4","5"
"Responden 413","4","4","3","4","5","2","2","5","4"
"Responden 414","4","4","3","4","3","4","3","4","3"
"Responden 415","4","4","4","4","4","4","4","4","4"
"Responden 416","4","4","4","4","4","4","4","4","4"
"Responden 417","4","4","4","4","4","3","3","4","3"
"Responden 418","4","4","4","4","4","4","4","4","4"
"Responden 419","4","3","5","3","4","3","1","5","3"
"Responden 420","5","4","3","4","3","4","1","5","4"
"Responden 421","4","5","3","4","3","4","2","5","5"
"Responden 422","5","4","4","5","4","4","3","5","3"
"Responden 423","4","5","3","4","4","5","3","4","3"
"Responden 424","4","3","5","5","3","2","5","5","5"
"Responden 425","5","4","5","5","3","5","3","5","5"
"Responden 426","4","4","3","4","4","4","3","5","4"
"Responden 427","4","5","3","2","3","4","3","4","3"
"Responden 428","4","4","3","4","3","3","2","5","4"
"Responden 429","4","5","4","3","4","3","4","5","3"
"Responden 430","4","4","5","3","3","3","3","4","4"
"Responden 431","3","3","3","3","3","3","3","3","3"
"Responden 432","2","4","4","5","3","4","3","5","3"
"Responden 433","4","4","5","2","3","4","1","5","4"
"Responden 434","4","4","5","3","2","4","3","5","4"
"Responden 435","4","5","4","2","2","4","3","5","4"
"Responden 436","3","4","3","4","4","2","2","4","4"
"Responden 437","4","3","4","4","3","4","3","5","3"
"Responden 438","4","3","4","5","3","4","4","4","2"
"Responden 439","4","5","5","2","4","4","2","4","4"
"Responden 440","5","4","4","3","4","4","2","5","5"
"Responden 441","4","5","4","3","4","4","2","4","4"
"Responden 442","4","3","4","4","4","3","3","4","4"
"Responden 443","4","4","4","5","4","4","2","5","5"
"Responden 444","4","5","3","4","4","4","2","4","3"
"Responden 445","3","2","4","2","3","4","2","5","4"
"Responden 446","4","5","4","3","4","4","2","5","4"
"Responden 447","4","4","3","3","3","4","4","5","4"
"Responden 448","4","4","2","4","2","4","3","5","4"
"Responden 449","4","3","4","5","3","4","4","5","4"
"Responden 450","3","4","3","2","3","4","2","5","3"
"Responden 451","4","3","4","3","4","4","3","4","5"
"Responden 452","5","4","4","1","2","4","3","4","2"
"Responden 453","3","4","4","3","4","4","2","3","4"
"Responden 454","5","3","4","3","4","4","3","5","3"
"Responden 455","5","5","3","4","3","4","3","4","5"
"Responden 456","4","4","3","4","3","4","4","5","3"
"Responden 457","5","4","4","4","4","4","3","4","4"
"Responden 458","4","3","4","4","5","4","4","5","4"
"Responden 459","4","2","4","5","4","5","2","4","4"
"Responden 460","4","4","4","4","4","4","3","5","3"
"Responden 461","4","3","5","4","3","4","2","5","5"
"Responden 462","5","5","2","4","3","4","2","5","3"
"Responden 463","4","5","4","2","1","4","3","5","3"
"Responden 464","4","4","3","4","2","3","3","5","4"
"Responden 465","5","5","5","5","5","4","3","4","5"
"Responden 466","4","4","5","3","4","4","2","4","4"
"Responden 467","4","4","4","3","4","4","3","5","4"
"Responden 468","5","3","3","3","3","4","3","4","2"
"Responden 469","4","3","4","4","4","5","4","5","5"
"Responden 470","4","1","4","4","5","3","2","4","2"
"Responden 471","4","2","4","4","4","4","2","5","2"
"Responden 472","4","4","5","4","4","4","3","4","4"
"Responden 473","4","3","4","4","2","4","3","5","3"
"Responden 474","4","5","3","4","4","5","4","5","4"
"Responden 475","4","2","4","4","4","4","3","5","2"
"Responden 476","4","2","4","4","4","2","2","4","2"
"Responden 477","3","4","3","4","3","2","2","5","4"
"Responden 478","4","4","5","3","4","4","2","5","4"
"Responden 479","4","3","4","5","3","4","4","5","3"
"Responden 480","4","5","3","4","5","4","2","5","3"
"Responden 481","4","5","3","2","5","4","2","4","4"
"Responden 482","4","5","4","2","3","5","3","2","4"
"Responden 483","4","3","4","4","4","4","2","5","2"
"Responden 484","4","3","5","4","2","2","1","4","3"
"Responden 485","4","3","4","2","5","4","3","5","3"
"Responden 486","4","5","4","4","3","3","4","5","3"
"Responden 487","4","3","4","3","2","4","2","5","2"
"Responden 488","4","5","3","4","4","3","3","5","4"
"Responden 489","5","4","2","4","2","4","2","3","4"
"Responden 490","4","5","5","5","4","4","4","5","4"
"Responden 491","4","5","3","4","2","3","3","5","5"
"Responden 492","4","4","2","4","2","4","3","4","5"
"Responden 493","4","3","4","3","4","4","2","5","3"
"Responden 494","2","2","2","2","2","5","2","5","2"
"Responden 495","4","3","4","2","4","2","2","4","4"
"Responden 496","4","4","4","4","4","4","3","4","5"
"Responden 497","4","4","3","4","3","3","2","4","3"
"Responden 498","3","4","2","4","3","4","2","4","3"
"Responden 499","4","4","5","4","2","2","3","4","4"
"Responden 500","4","4","5","3","5","4","3","5","4"
"Responden 501","4","4","4","4","4","4","4","4","4"
